"Age","Gender","Weight_kg","Height_m","Max_BPM","Avg_BPM","Resting_BPM","Session_Duration_hours","Calories_Burned","Workout_Type","Fat_Percentage","Water_Intake_liters","Workout_Frequency_days/week","Experience_Level","BMI"
41,0,71.2,1.64,165,147,54,1.42,939,4,30.9,2.3,3,2,26.47
49,1,85,1.68,197,163,74,1.82,1468,4,11.3,3.5,4,3,30.12
39,0,63.6,1.56,183,148,66,1.22,903,2,34.8,2.4,2,1,26.13
40,1,73.2,1.94,177,162,69,0.81,722,2,29,2.4,2,1,19.45
19,0,48.3,1.52,186,136,56,0.96,653,2,26.3,1.6,2,1,20.91
44,0,42.8,1.78,167,159,64,1.49,1066,2,25.3,2.6,3,2,13.51
59,1,88.1,1.76,187,168,74,1.35,1123,2,26.9,3,3,2,28.44
19,0,72.4,1.75,169,140,64,1.2,840,3,31,1.7,4,2,23.64
43,1,73.2,1.88,176,142,63,1.17,822,3,29.4,3.3,3,1,20.71
34,1,110.5,1.86,188,139,62,1.42,1086,3,22.3,3.6,2,1,31.94
57,0,46.1,1.76,165,130,60,1.44,842,2,25.8,1.7,3,2,14.88
50,1,90.8,1.71,173,153,62,1.07,810,1,22.6,3.4,4,2,31.05
26,0,59.3,1.51,181,129,71,1.7,1096,2,15.1,2.7,5,3,26.01
56,0,45.1,1.73,165,129,73,0.83,482,2,25.4,2.6,3,1,15.07
46,1,45,1.77,185,162,58,1.48,1187,3,29.1,3.6,3,2,14.36
59,1,89.4,1.62,198,125,59,1.43,885,2,23.5,3.6,3,2,34.06
43,1,127.7,1.69,171,155,53,1.14,875,3,24.1,2.9,3,2,44.71
52,1,70.9,1.72,194,143,66,1.31,927,2,20.2,2.6,3,2,23.97
42,0,49.2,1.5,173,131,63,1.15,678,4,27.7,1.5,3,2,21.87
41,0,62.3,1.79,181,162,73,1.99,1451,1,19,2.7,5,3,19.44
30,1,64.1,1.87,182,142,67,0.64,500,1,26.2,2.1,2,1,18.33
24,0,69.7,1.75,166,146,60,1.41,1029,3,32.5,2,3,1,22.76
53,0,56.9,1.59,199,164,65,1.49,1100,4,29.5,2,3,2,22.51
37,0,53,1.71,184,156,50,1.13,881,1,28.1,1.7,4,2,18.13
18,0,72.7,1.55,172,125,56,0.84,525,3,29.8,2,3,1,30.26
25,1,76.5,1.96,180,120,59,0.67,442,2,23.2,2.3,3,1,19.91
33,1,113.6,1.99,169,125,58,1.38,949,2,28.4,3.4,2,1,28.69
31,0,62.5,1.62,168,169,74,1.56,1318,4,16.5,2.7,4,3,23.81
29,1,95.2,1.86,174,141,52,0.64,496,1,26.6,2.5,2,1,27.52
40,1,51.7,1.82,161,160,71,0.9,792,2,21.4,3,3,1,15.61
32,1,105.3,1.67,184,143,72,0.57,448,3,26.9,2.9,3,1,37.76
45,0,71.2,1.68,172,144,63,1.37,888,2,34.1,1.6,3,1,25.23
51,0,78.1,1.51,193,134,74,0.92,555,2,31.1,2.6,3,1,34.25
19,0,50.6,1.68,193,145,64,1.21,877,1,30.6,2.1,3,2,17.93
49,1,70.2,1.89,194,127,51,0.7,440,1,29.6,2.6,3,1,19.65
40,0,62.6,1.53,197,143,73,1.93,1380,3,18.1,2.7,5,3,26.74
39,0,60.6,1.65,162,167,63,0.92,768,4,27.6,1.7,3,1,22.26
42,1,76.4,1.97,165,157,65,1.14,886,4,22.9,2.6,3,2,19.69
39,0,63.3,1.71,178,125,56,1.88,1175,2,18.5,2.7,4,3,21.65
39,0,68.6,1.64,162,154,53,1.33,1024,3,32.4,1.5,3,2,25.51
59,1,123.3,1.88,177,161,67,1.3,1036,4,23,2.6,4,2,34.89
23,1,107,1.94,198,120,73,1.35,891,4,23.5,2.9,2,1,28.43
32,1,68.3,1.92,168,165,54,1.42,1289,2,29.9,3.5,2,1,18.53
54,0,47.8,1.6,171,155,55,1.19,830,3,26,2.3,4,2,18.67
50,0,58.4,1.79,164,131,56,1.6,943,4,17,2.7,4,3,18.23
25,0,74.3,1.71,162,157,64,1.43,1123,1,25.6,1.6,3,2,25.41
22,1,106.8,1.82,170,130,50,1,715,1,28.2,2.3,4,2,32.24
56,1,125.5,1.8,189,131,73,1.26,817,2,20.9,2.7,4,2,38.73
21,0,55.2,1.55,163,161,53,1.37,1103,2,31.7,1.7,4,2,22.98
23,0,71.4,1.72,164,169,74,1.25,1056,2,25.6,1.5,2,1,24.13
49,1,77.7,1.61,160,158,50,1.03,806,2,26.7,3.4,3,2,29.98
47,1,88.4,1.6,186,126,60,1.86,1160,4,14.2,3.5,5,3,34.53
52,1,104.8,1.99,187,130,67,0.93,598,3,24,2,2,1,26.46
57,1,82.2,1.69,188,155,63,1.15,882,2,25.2,3.4,4,2,28.78
33,0,68.2,1.75,177,150,71,0.85,638,2,29,1.7,2,1,22.27
30,1,91.4,1.99,171,152,60,1.37,1145,4,23,3.7,3,2,23.08
59,0,42.1,1.65,172,132,59,1.22,725,2,33,2.2,2,1,15.46
47,0,68.7,1.76,161,137,66,1.37,845,2,27.7,2.4,3,2,22.18
36,0,47.2,1.74,196,160,53,1.5,1200,3,32.2,1.6,4,2,15.59
34,1,92,1.76,175,143,73,0.73,574,1,22.1,3.5,3,1,29.7
36,1,56.2,1.95,183,128,64,1.09,767,2,22.5,3.4,4,2,14.78
45,1,58.4,1.72,194,150,65,1.31,973,4,23.4,3.1,4,2,19.74
43,1,82.9,1.95,181,160,70,1.9,1505,3,12.9,3.5,5,3,21.8
54,0,66.9,1.74,195,129,62,1.24,720,4,29.5,2.1,2,1,22.1
43,1,66.3,1.85,170,121,58,1.18,707,3,27.5,3.2,2,1,19.37
40,1,93.6,1.93,188,157,60,1.38,1192,3,22.1,2,3,1,25.13
26,0,64.1,1.5,194,134,60,1.93,1293,2,15.1,2.7,5,3,28.49
29,1,86.7,1.62,174,122,55,1.52,1020,2,13.9,3.5,4,3,33.04
18,0,62,1.59,190,162,50,1.23,996,2,33.2,2.2,4,2,24.52
18,0,58.1,1.61,175,150,71,1.9,1425,1,15.3,2.7,4,3,22.41
51,0,64.9,1.6,169,125,55,1.49,838,1,31.1,2.5,4,2,25.35
49,0,69.3,1.62,191,122,62,1.14,626,4,28.8,1.9,4,2,26.41
42,0,42.7,1.74,161,130,71,1.04,608,2,32.9,1.6,3,1,14.1
57,0,51.4,1.63,183,134,73,1.2,724,1,33.7,2,4,2,19.35
18,0,67.4,1.6,182,164,71,0.6,492,2,33.5,2.4,3,1,26.33
33,0,55.6,1.61,161,147,54,1.77,1301,1,18.9,2.7,4,3,21.45
56,1,125.3,1.86,197,129,64,1,639,1,22.7,2.2,3,2,36.22
22,1,102.1,1.85,190,157,67,1.48,1278,3,28.1,2.4,4,2,29.83
39,1,61.9,1.77,199,166,69,1.32,1205,2,25.3,2.3,3,1,19.76
46,1,108.8,1.64,185,169,63,1.4,1171,2,20.5,3.4,3,1,40.45
20,0,51.1,1.58,188,169,64,0.5,422,1,29.6,1.6,2,1,20.47
29,1,81.7,1.99,162,126,54,1.45,1005,2,29.4,3.2,2,1,20.63
43,0,42.7,1.66,173,134,53,0.73,440,1,33.9,1.9,2,1,15.5
33,1,81.8,1.99,184,137,51,1.59,1198,2,10.5,3.5,4,3,20.66
54,1,54.6,1.76,160,137,56,1.28,868,3,27.4,3.3,4,2,17.63
39,1,107.7,1.88,162,160,59,0.72,634,2,28.1,3.6,2,1,30.47
46,0,56.9,1.6,185,143,65,0.88,566,3,27.7,1.6,3,1,22.23
31,1,78.8,1.71,177,121,59,1.49,992,4,24.7,2.5,4,2,26.95
45,0,48.2,1.64,168,159,67,1.25,894,2,32.1,2.5,4,2,17.92
22,0,50.7,1.59,197,139,66,1.27,883,2,29.4,1.8,3,2,20.05
47,1,86.6,1.99,182,153,70,1.98,1500,2,10.6,3.5,4,3,21.87
22,1,96.3,1.63,180,162,62,1.35,1203,3,27.1,2.4,4,2,36.25
29,1,80.8,1.98,160,145,50,1.65,1316,2,14.6,3.5,5,3,20.61
33,0,58,1.53,180,126,50,1.84,1159,2,18.3,2.7,5,3,24.78
43,1,95.9,1.85,186,157,64,1.28,995,1,27.7,3.4,2,1,28.02
43,0,61.5,1.58,165,149,50,1.86,1247,4,16.8,2.7,5,3,24.64
38,0,40.6,1.79,195,161,55,0.62,499,3,26.8,2.7,2,1,12.67
56,1,82.5,1.87,187,124,74,1.51,927,1,13.2,3.5,5,3,23.59
53,1,105.1,1.84,176,130,62,0.69,444,3,23.3,2.9,3,1,31.04
50,0,58.1,1.58,199,120,50,1.93,1042,1,19.3,2.7,5,3,23.27
47,0,61,1.76,162,153,54,1.54,1060,4,15.6,2.7,5,3,19.69
54,0,64.5,1.53,171,120,58,1.74,940,1,17.2,2.7,4,3,27.55
40,1,58.2,1.98,198,138,74,1.43,1085,3,24,2.5,3,2,14.85
27,0,69.5,1.76,171,121,66,0.94,569,2,34.4,2,3,1,22.44
22,1,62.2,1.84,161,140,65,0.51,393,2,21.5,2.3,3,1,18.37
53,0,68,1.7,181,139,57,1.06,663,4,25.1,2.4,4,2,23.53
51,0,56.3,1.5,182,142,66,1.43,914,3,27.4,2.4,3,1,25.02
48,1,94.5,1.7,189,140,64,1.01,700,3,28.2,3.5,3,2,32.7
27,0,58,1.79,164,143,73,1.39,994,3,27.1,1.5,2,1,18.1
36,1,84,1.94,168,123,50,1.8,1218,4,11.2,3.5,5,3,22.32
49,1,61,1.87,180,131,61,1.14,739,2,21.3,3,4,2,17.44
18,0,64.8,1.53,170,141,54,1.98,1396,1,18.6,2.7,5,3,27.68
22,1,45.7,1.77,164,139,73,1.04,795,4,20.7,2.4,3,1,14.59
21,1,80.9,1.9,194,137,55,1.8,1356,1,11.7,3.5,4,3,22.41
33,0,64.1,1.63,186,120,74,1.58,948,2,16.4,2.7,5,3,24.13
41,1,67,1.77,161,149,50,1.22,900,4,25.6,2.6,3,2,21.39
33,1,106.5,1.6,183,152,74,1.4,1170,2,27.3,3.3,4,2,41.6
19,1,95.1,1.85,190,143,50,1.21,952,1,25.3,2.3,4,2,27.79
45,0,65.5,1.57,192,133,59,0.66,395,3,34.3,2.3,2,1,26.57
49,1,105.7,1.64,198,155,59,1.2,921,3,29.5,3.1,3,2,39.3
44,0,48,1.76,189,124,52,0.88,491,1,28.6,2.6,2,1,15.5
37,0,69.5,1.5,196,130,66,0.69,448,3,32.8,2.4,2,1,30.89
41,1,66.1,1.69,187,143,68,0.77,545,1,27.4,3.4,2,1,23.14
29,1,68,1.7,190,150,60,0.76,627,4,28.9,2.9,2,1,23.53
52,1,50.3,1.78,170,132,67,0.85,555,4,24.5,2.3,2,1,15.88
50,0,69.3,1.68,182,135,51,1.2,729,4,30.3,2,2,1,24.55
50,1,86.7,1.63,161,143,58,1.7,1203,3,12.1,3.5,4,3,32.63
54,1,125.9,1.94,199,132,73,1.35,882,2,28.5,2.9,3,2,33.45
29,1,88.1,1.93,186,143,66,1.88,1479,3,11.1,3.5,5,3,23.65
20,1,124.3,1.82,194,145,63,1.25,997,3,22.4,3.2,3,2,37.53
18,1,62,1.85,161,121,53,0.88,586,2,23.7,3,3,1,18.12
50,0,69.7,1.72,198,135,66,1.24,753,2,27.3,2,4,2,23.56
57,0,60.9,1.52,196,157,66,1.31,926,2,30.6,1.8,3,2,26.36
27,1,76.5,1.97,180,165,61,1.13,1025,2,21.3,2.3,2,1,19.71
46,1,94.7,1.82,164,120,69,1.47,873,3,23.2,3.2,3,2,28.59
30,1,67.9,1.75,180,168,67,1.25,1155,1,29.1,3.1,2,1,22.17
29,1,121.1,1.87,188,130,52,1.31,937,4,24.1,3.2,4,2,34.63
48,0,71.5,1.64,179,154,60,1.46,1012,1,32.5,1.9,4,2,26.58
19,1,98.6,1.7,197,162,74,0.83,740,3,21.1,2.4,2,1,34.12
52,0,68.2,1.63,179,148,67,1.17,779,2,27.5,2.4,3,1,25.67
40,0,57.7,1.69,184,156,53,1.18,920,4,33.1,2.4,4,2,20.2
34,1,124.6,1.63,161,136,66,1.41,1055,4,27.6,2.8,3,2,46.9
43,0,73,1.59,191,158,67,1.31,931,1,28.9,2.2,3,1,28.88
25,0,59.4,1.51,185,161,54,1.62,1304,3,19.8,2.7,5,3,26.05
46,0,52,1.65,165,147,63,0.7,463,3,34.1,1.9,2,1,19.1
43,0,42.2,1.65,162,148,59,1.33,886,3,34.6,2.3,3,2,15.5
27,1,89.3,1.64,192,162,64,1.82,1622,4,12.1,3.5,4,3,33.2
43,1,110,1.76,160,122,50,1.09,658,1,22,3.4,3,1,35.51
51,0,66.2,1.58,164,129,65,0.86,499,4,31.3,2.3,3,1,26.52
58,1,58.6,1.66,172,161,60,1.21,964,4,26.8,2.9,2,1,21.27
24,1,51,1.67,178,133,72,0.97,710,2,21.3,2.8,3,1,18.29
21,1,101.5,1.95,171,131,69,0.97,699,1,27.9,3.1,3,1,26.69
28,1,114.2,1.87,184,166,55,1.05,959,2,20.2,3.2,3,2,32.66
46,1,54.4,1.72,194,161,73,0.91,725,3,24.8,2.9,2,1,18.39
53,0,52.4,1.57,171,149,71,1.34,898,4,28.3,2.2,3,2,21.26
42,1,85.2,1.81,189,151,65,1.54,1151,1,13.7,3.5,5,3,26.01
38,1,83.6,1.74,164,151,51,1.66,1379,3,11.6,3.5,5,3,27.61
53,1,115.4,1.92,193,161,50,1.36,1084,1,28.3,2.2,4,2,31.3
27,1,71.2,1.97,181,151,73,0.74,615,4,25.9,3.6,3,1,18.35
54,0,78.1,1.6,198,145,73,1.1,718,1,32.9,2.4,4,2,30.51
26,0,54.2,1.65,172,120,58,1.07,642,3,34.9,1.9,4,2,19.91
41,0,77.6,1.76,162,161,71,1.27,920,2,31.8,2.2,4,2,25.05
52,0,44.1,1.62,179,121,61,1.41,768,4,34.8,1.6,3,1,16.8
52,1,85.5,1.8,190,136,66,1.7,1144,2,10.1,3.5,5,3,26.39
53,0,47.8,1.76,164,149,74,1.06,711,4,28.4,1.5,4,2,15.43
35,1,102.5,1.94,183,158,64,0.84,730,3,21.1,2.4,2,1,27.23
56,1,118,1.9,199,126,68,0.66,412,4,22.6,3.2,2,1,32.69
49,1,82.3,1.84,192,146,71,1.29,932,2,28.4,3.4,4,2,24.31
41,1,81.6,1.87,167,128,59,1.87,1185,4,10.2,3.5,5,3,23.33
40,1,60.2,1.88,183,141,61,1.22,946,3,25.2,3,3,2,17.03
49,0,49.2,1.54,179,153,63,1.28,881,4,30.7,2.1,3,2,20.75
54,0,46.6,1.5,175,165,58,1.38,1025,2,30.6,2,2,1,20.71
29,0,68.7,1.72,171,168,62,1.08,907,3,29.8,1.7,4,2,23.22
30,0,60.6,1.55,172,120,52,1.3,780,2,32.9,1.6,3,2,25.22
40,1,52.1,1.61,198,128,70,0.87,612,4,21.3,3.3,2,1,20.1
42,0,46.6,1.77,184,139,63,0.61,382,1,28.1,2.6,2,1,14.87
52,1,65.5,1.74,191,138,70,1.48,1011,2,26.2,2.8,4,2,21.63
58,0,44.2,1.57,183,155,59,1.08,753,4,31.9,2.3,3,1,17.93
47,1,89.1,1.84,168,159,65,1.44,1133,1,24,3.6,3,2,26.32
34,1,65.9,1.62,199,164,56,0.81,731,1,28.8,2.2,2,1,25.11
37,0,55.6,1.57,182,123,53,0.97,597,3,29.2,2.4,2,1,22.56
42,1,63.7,1.98,172,128,69,1.37,868,1,24,3,2,1,16.25
39,1,86.2,1.82,191,160,72,1.96,1725,2,10.2,3.5,5,3,26.02
30,0,59.2,1.63,174,141,74,1.85,1304,2,17.8,2.7,4,3,22.28
36,1,85.4,1.88,195,137,60,1.98,1492,1,13.5,3.5,5,3,24.16
53,0,68.1,1.55,164,131,65,1.41,831,4,26.1,2.2,4,2,28.35
29,0,60,1.62,181,161,69,0.85,684,2,28.1,1.9,2,1,22.86
58,0,74.8,1.69,175,162,53,1.28,933,2,32.8,2.3,4,2,26.19
36,1,90.3,1.65,169,158,71,1.38,1199,3,23.7,3.4,4,2,33.17
29,1,86.1,1.65,183,128,71,1.66,1169,4,11.2,3.5,4,3,31.63
26,1,73.7,1.66,177,125,72,0.93,639,1,26.7,2.2,2,1,26.75
24,0,67.7,1.56,177,138,66,1.42,980,4,27,2.1,3,2,27.82
45,1,78.3,1.96,166,167,62,1.29,1066,3,29,2.2,3,1,20.38
31,0,48.2,1.65,163,166,60,1.1,913,3,26.1,2.5,2,1,17.7
48,0,56.8,1.51,185,126,52,1.37,777,4,32.1,2.1,4,2,24.91
36,1,112.4,1.63,164,135,58,1.02,757,3,25,3.4,4,2,42.3
33,0,59,1.67,175,124,55,0.9,558,3,33.7,1.9,3,1,21.16
22,1,98.4,1.88,194,135,71,0.52,386,3,21.3,2.2,2,1,27.84
52,1,66.5,1.6,185,120,70,1.34,796,4,26.8,2.1,4,2,25.98
29,1,106.5,1.81,177,156,60,1.29,1107,3,25.7,2.5,4,2,32.51
42,1,88.4,1.93,188,158,65,1.68,1314,1,12.4,3.5,4,3,23.73
38,1,88.4,1.79,182,138,68,1.74,1321,1,12.5,3.5,5,3,27.59
53,0,53.3,1.74,173,156,54,1.37,962,2,32.2,1.8,3,2,17.6
40,0,58.1,1.56,174,136,63,0.61,415,1,34.4,2.2,2,1,23.87
33,0,74.2,1.76,192,145,66,1.15,834,2,25.9,1.5,4,2,23.95
56,1,84.6,1.63,184,141,52,1.01,705,4,20.2,2.9,4,2,31.84
59,1,78,1.92,180,127,53,0.72,453,3,28.1,2.7,3,1,21.16
56,1,89,1.68,176,152,65,1.77,1332,1,10.5,3.5,5,3,31.53
31,0,42.7,1.76,182,121,65,1.46,883,2,34.9,2.2,3,1,13.78
48,1,83.9,1.82,176,149,70,1.9,1401,4,13.1,3.5,5,3,25.33
22,0,78.7,1.52,173,166,74,1.45,1204,2,31.5,2.3,3,2,34.06
52,0,65.9,1.52,188,139,53,1.27,794,3,27,2.3,4,2,28.52
40,1,76.9,1.92,179,137,68,1.13,851,1,22.4,3.7,4,2,20.86
46,1,84.3,2,189,162,66,1.83,1467,4,13.3,3.5,5,3,21.07
28,0,62.4,1.6,178,129,62,1.1,710,2,34.1,1.7,3,2,24.37
35,1,63.7,1.74,198,143,71,1.03,810,4,29.8,2.7,4,2,21.04
29,0,54.9,1.52,172,123,72,1.48,910,2,27,2,3,1,23.76
26,1,76.4,1.79,177,156,73,1.17,1004,2,21.3,2.7,3,2,23.84
27,1,106.4,1.86,182,123,50,1.34,907,3,20.6,3.1,2,1,30.76
34,0,68.4,1.5,192,132,61,1.37,904,3,33.7,2.1,4,2,30.4
55,1,63.5,1.86,198,144,53,1.36,969,2,22.9,2.9,4,2,18.35
24,0,59.4,1.5,199,132,60,1.25,825,1,25,2,3,2,26.4
30,1,113.4,1.91,177,137,54,1.27,957,4,22.2,3.7,3,1,31.08
57,0,61.9,1.52,168,143,51,0.92,592,4,28.4,2.6,3,1,26.79
59,0,70.7,1.68,192,121,66,1.17,637,3,34.9,1.9,3,2,25.05
26,1,111.5,1.9,191,167,57,1.02,937,1,25.2,2.2,2,1,30.89
44,0,72.1,1.66,176,152,55,1.4,958,2,27,2.5,2,1,26.16
19,1,56.9,1.87,178,138,70,0.61,463,3,23.3,3.7,3,1,16.27
22,1,86.2,1.9,186,128,58,1.91,1345,2,11.7,3.5,5,3,23.88
46,1,59.4,1.68,165,147,62,1.16,844,2,20.2,2.5,4,2,21.05
54,0,75.6,1.72,194,154,60,0.97,672,3,26.4,1.9,3,1,25.55
55,0,76.3,1.73,196,158,65,1.08,768,1,32,2.6,3,1,25.49
36,1,95.8,1.86,193,129,65,1.37,972,4,21.2,3.2,3,1,27.69
25,1,120.6,1.83,179,120,51,1.04,686,3,22.3,2.5,3,2,36.01
18,0,65.3,1.55,184,161,59,1.42,1143,1,28.5,2.2,3,2,27.18
39,1,85.3,1.89,163,140,61,0.77,593,2,27.6,3.6,2,1,23.88
34,1,68,1.68,169,128,57,0.67,472,3,25.8,3.4,2,1,24.09
24,0,52.6,1.57,169,166,60,1.29,1071,4,31.9,2.4,2,1,21.34
42,1,63.3,1.77,183,134,59,1.32,876,4,25.7,3.3,3,2,20.2
21,0,76.3,1.65,180,154,62,1.14,878,2,31.8,1.7,3,2,28.03
53,1,61,1.63,170,124,74,0.54,331,3,20,3.4,3,1,22.96
23,0,67.8,1.61,186,160,66,1.34,1072,4,34.3,1.8,2,1,26.16
48,1,114.9,1.86,175,141,56,1.36,949,3,21.1,3.6,3,1,33.21
36,1,88,1.71,185,160,73,1.87,1646,4,12,3.5,5,3,30.09
56,0,67.7,1.58,189,142,52,1.45,927,2,32.7,1.9,2,1,27.12
44,1,124.8,1.85,175,126,69,1.35,842,2,24.4,3.5,4,2,36.46
27,0,53,1.58,166,142,62,1.26,895,3,34.5,1.8,4,2,21.23
43,1,61.2,1.88,175,163,68,1.03,831,1,24.7,2.9,3,1,17.32
36,0,48.7,1.68,194,144,56,1.23,886,1,33.7,1.6,3,1,17.25
56,0,50.6,1.7,175,146,58,1.29,848,2,33.1,2.3,2,1,17.51
20,0,72.6,1.73,199,160,68,1.27,1016,4,34.8,2.5,3,2,24.26
30,0,70.4,1.56,171,125,62,1.03,644,1,34.3,2.4,4,2,28.93
45,1,52.5,1.88,194,153,71,1.08,818,2,29,2.9,4,2,14.85
37,1,76.3,1.77,180,128,57,1.36,957,4,27.3,2.1,4,2,24.35
45,0,41.2,1.58,195,168,71,1.47,1111,4,28.7,2.6,2,1,16.5
25,0,55.3,1.76,176,152,67,1.56,1186,1,15.5,2.7,4,3,17.85
58,0,49.7,1.67,191,125,72,1.38,776,2,31.9,2.3,4,2,17.82
56,1,48.3,1.87,165,156,51,0.68,525,4,29.8,3.3,3,1,13.81
18,1,83.2,1.96,183,150,67,1.83,1510,4,13.6,3.5,4,3,21.66
20,1,120.5,1.73,186,153,67,1.01,850,3,29.3,3.4,3,2,40.26
30,1,121.6,2,179,160,60,1.24,1091,3,28,3.3,4,2,30.4
45,0,73,1.75,184,148,50,1.14,759,1,26.6,2,4,2,23.84
42,0,57.5,1.67,161,133,63,1.76,1053,3,16.2,2.7,5,3,20.62
50,0,42.7,1.53,168,155,65,1.41,983,2,28.4,2.4,4,2,18.24
55,1,129.9,1.73,187,155,60,0.69,529,1,21.7,3.1,3,1,43.4
23,1,108.6,1.92,197,134,50,0.89,656,1,25.8,3.5,2,1,29.46
49,1,88.6,2,162,127,56,1.83,1150,3,14.9,3.5,4,3,22.15
38,0,49.7,1.51,179,145,65,1.25,906,4,32.6,2.5,3,1,21.8
33,0,56.4,1.54,165,155,63,1.06,822,2,29.2,1.5,3,1,23.78
38,1,46.9,1.74,198,167,64,1.03,946,2,20,2.6,4,2,15.49
28,0,71.3,1.67,192,140,63,1.46,1022,2,28.1,1.5,4,2,25.57
54,1,71.6,1.86,160,147,70,1.14,830,1,25.3,2.2,3,2,20.7
53,1,82.3,1.61,196,123,60,1.87,1139,2,11.6,3.5,5,3,31.75
52,0,70.6,1.69,165,135,65,1.36,826,4,26.1,2.2,3,1,24.72
36,1,109.8,1.62,193,141,68,0.84,651,4,24.4,3.5,3,1,41.84
37,0,73.5,1.69,174,131,66,0.54,354,3,27.5,1.6,2,1,25.73
35,1,85.6,1.85,185,135,55,1.78,1322,2,14.5,3.5,5,3,25.01
58,0,74.6,1.68,173,159,60,1.03,737,1,26,2,4,2,26.43
31,0,63.2,1.8,166,157,66,0.59,463,3,25.5,2.6,2,1,19.51
32,0,62.6,1.63,190,161,58,1.67,1344,4,15,2.7,5,3,23.56
48,1,87.1,1.76,183,156,67,1.81,1398,2,11.6,3.5,5,3,28.12
18,1,82.3,1.84,190,148,66,1.73,1408,4,13.3,3.5,5,3,24.31
20,0,64.3,1.78,188,137,61,1.71,1171,3,18.7,2.7,4,3,20.29
33,0,53.7,1.66,191,129,72,1.25,806,4,29.5,2.5,3,1,19.49
40,1,63,2,176,161,71,1.42,1257,2,26.8,2.9,4,2,15.75
28,1,128.4,1.86,173,158,71,1.06,921,2,23.6,3.3,4,2,37.11
29,1,88,1.89,199,137,54,1.75,1319,3,13.3,3.5,5,3,24.64
27,0,63.7,1.52,195,120,60,1.19,714,2,25.4,2.1,4,2,27.57
49,1,83.7,1.87,183,158,53,1.29,1009,4,23.9,2.3,4,2,23.94
33,1,102.6,1.75,186,140,53,1.4,1078,4,27.9,2.2,3,2,33.5
25,0,77.7,1.55,184,120,52,0.55,330,1,33,1.7,2,1,32.34
55,1,87.5,1.88,191,134,73,1.19,789,1,27.2,2.6,4,2,24.76
29,1,87,1.86,177,123,72,1.52,1028,1,11,3.5,4,3,25.15
41,1,82.8,1.66,177,139,74,1.97,1355,4,11.2,3.5,5,3,30.05
45,0,65.4,1.68,196,129,66,0.76,441,4,35,2.6,3,1,23.17
25,0,47.2,1.71,185,142,56,0.89,632,3,26,2.5,2,1,16.14
45,0,58.2,1.7,168,160,53,0.95,684,1,26.8,2,3,1,20.14
53,0,73.5,1.55,194,153,72,1.17,806,4,26.3,2.1,4,2,30.59
43,0,55.2,1.73,167,165,62,1.67,1240,3,16.6,2.7,5,3,18.44
25,0,64.4,1.71,179,167,61,1.12,935,4,27.1,1.8,3,1,22.02
45,0,73.5,1.74,181,152,50,1.18,807,3,30,2.3,4,2,24.28
45,1,89.6,1.81,178,153,70,1.7,1287,1,12.4,3.5,5,3,27.35
54,1,86.5,1.76,189,158,68,1.48,1158,1,29,3.4,3,2,27.92
58,0,46.1,1.67,187,129,70,1.28,743,1,25.3,1.8,4,2,16.53
53,1,68.5,1.97,194,139,69,1.3,894,4,23.2,2.1,3,2,17.65
44,1,94.6,1.84,170,120,67,1.26,748,4,26,3.1,4,2,27.94
34,0,54.2,1.52,190,132,60,1.13,746,3,31,2.2,3,1,23.46
26,1,47.7,1.77,198,120,69,1.15,759,2,24.8,2.7,3,2,15.23
50,1,52.2,1.84,195,124,52,1.38,847,2,28.2,3.1,4,2,15.42
37,1,88.8,1.95,189,135,66,1.58,1173,1,10.3,3.5,5,3,23.35
30,1,101,1.68,182,134,61,1.46,1076,2,28.2,2.9,4,2,35.79
45,1,118.4,1.95,178,168,59,1.06,881,1,24.9,2.4,3,2,31.14
46,0,47.9,1.72,171,147,57,1.41,933,3,26.3,2,3,1,16.19
30,0,51.5,1.74,174,150,64,1.08,810,2,33.9,2,3,2,17.01
52,0,79.9,1.51,190,142,54,0.75,479,2,31.5,2.6,3,1,35.04
23,1,121.3,1.85,196,167,53,0.72,661,1,21.6,3.6,2,1,35.44
35,0,78.9,1.64,196,164,70,1.28,1050,3,25.3,2.6,4,2,29.34
22,1,88.5,1.62,174,162,69,1.88,1675,2,10.7,3.5,5,3,33.72
42,1,73.5,1.63,188,136,68,0.52,350,2,26.1,3.2,3,1,27.66
19,1,127.9,1.93,185,168,70,1.27,1173,2,21.8,3,4,2,34.34
27,1,88.5,1.98,161,153,53,1.8,1515,3,11.1,3.5,4,3,22.57
47,0,43.4,1.62,179,132,64,0.51,303,3,25.3,2.3,3,1,16.54
22,0,42.8,1.56,174,133,66,1.47,978,2,32.2,2.6,3,2,17.59
50,1,64.5,1.79,163,130,61,1.17,753,1,28.1,2.4,4,2,20.13
18,0,50.7,1.53,181,147,52,1.29,948,1,33,2.1,3,2,21.66
35,1,59.2,1.66,197,161,59,1.3,1151,2,21.3,3.2,3,1,21.48
49,0,78.9,1.73,182,151,64,1.38,938,3,34,2.3,2,1,26.36
28,0,78.7,1.63,185,154,59,1.1,847,2,31.7,1.8,3,2,29.62
38,1,68.7,1.92,170,150,73,1.31,1081,3,29,3,4,2,18.64
43,0,53.1,1.59,187,136,72,0.82,502,2,29.5,2.5,2,1,21
42,1,64.8,1.65,161,166,67,1.1,904,3,24.4,2.8,3,2,23.8
39,0,50.3,1.61,167,128,50,1.17,749,4,32.8,2.5,2,1,19.41
44,1,102.3,1.63,188,129,52,1.34,856,1,20.9,2.6,4,2,38.5
